id,postal_code,territory,latitude,longitude
102,15127,ΜΕΛΙΣΣΙΑ,38.0431578,23.8418292
103,15127,ΜΕΛΙΣΣΙΑ,38.0435803,23.8423658
104,15127,ΜΕΛΙΣΣΙΑ,38.0430379,23.84167
105,15127,ΜΕΛΙΣΣΙΑ,38.0434423,23.8421812
106,15231,ΧΑΛΑΝΔΡΙ ΑΓΙΑ ΒΑΡΒΑΡΑ,38.0088703,23.7870342
107,15234,ΧΑΛΑΝΔΡΙ,38.0279877,23.8133568
108,15234,ΧΑΛΑΝΔΡΙ,38.0177737,23.8149952
109,15234,ΧΑΛΑΝΔΡΙ,38.017723,23.8151961
110,15234,ΧΑΛΑΝΔΡΙ,38.0176729,23.8153882
111,15234,ΧΑΛΑΝΔΡΙ,38.0238535,23.8219698
112,15234,ΧΑΛΑΝΔΡΙ,38.0151361,23.8092111
113,15234,ΧΑΛΑΝΔΡΙ,38.0160168,23.8092174
114,15234,ΧΑΛΑΝΔΡΙ,38.0161299,23.8089371
115,15234,ΧΑΛΑΝΔΡΙ,38.0176984,23.8152922
116,15236,ΠΕΝΤΕΛΗ ΝΕΑ ΠΕΝΤΕΛΗΟΡ,38.0406208,23.8587769
117,15237,ΦΙΛΟΘΕΗ,38.0161519,23.7810675
118,15237,ΦΙΛΟΘΕΗ,38.0159304,23.7813669
119,15237,ΦΙΛΟΘΕΗ,38.0172111,23.7802937
120,15237,ΦΙΛΟΘΕΗ,38.0180824,23.7799879
121,15237,ΦΙΛΟΘΕΗ,38.0160123,23.7812162
122,15237,ΦΙΛΟΘΕΗ,38.0181698,23.780068
123,15237,ΦΙΛΟΘΕΗ,38.0136152,23.7776905
124,15237,ΦΙΛΟΘΕΗ,38.0135947,23.7779264
125,15237,ΦΙΛΟΘΕΗ,38.016598,23.771467
126,15237,ΦΙΛΟΘΕΗ,38.0195952,23.7702033
127,15237,ΦΙΛΟΘΕΗ,38.0273424,23.7819105
128,15237,ΦΙΛΟΘΕΗ,38.0274464,23.7820146
129,15237,ΦΙΛΟΘΕΗ,38.0276382,23.7816745
130,15237,ΦΙΛΟΘΕΗ,38.0275396,23.7815788
131,15237,ΦΙΛΟΘΕΗ,38.0275998,23.7825073
132,15237,ΦΙΛΟΘΕΗ,38.0165599,23.7777442
133,15238,ΧΑΛΑΝΔΡΙ,38.0418033,23.8358245
134,15238,ΧΑΛΑΝΔΡΙ,38.0367786,23.8485589
135,15238,ΧΑΛΑΝΔΡΙ,38.0299202,23.845417
136,15238,ΧΑΛΑΝΔΡΙ,38.0298255,23.8455913
137,15238,ΧΑΛΑΝΔΡΙ,38.0297322,23.8457623
138,15238,ΧΑΛΑΝΔΡΙ,38.0296402,23.8459384
139,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0144866,23.8128995
140,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0146131,23.8125252
141,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0143315,23.8125561
142,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0142853,23.8133375
143,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0142241,23.8128743
144,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,37.9955768,23.8144236
145,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0126661,23.8093598
146,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0144166,23.812307
147,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0144734,23.8121403
148,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0141582,23.812841
149,15342,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΑΓΙΑΝΝΗ,38.0020343,23.8247017
150,15342,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΑΓΙΑΝΝΗ,38.0014539,23.8255647
151,15342,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΑΓΙΑΝΝΗ,38.0015937,23.8254559
152,15343,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΠΕΥΚΑΚΙ,38.0189386,23.8308807
153,15344,ΑΝΘΟΥΣΑ,38.018629,23.859096
154,15344,ΑΝΘΟΥΣΑ,38.0182641,23.8590921
155,15344,ΑΝΘΟΥΣΑ,38.0186314,23.8587984
156,15344,ΑΝΘΟΥΣΑ,38.0182724,23.8587945
157,15344,ΑΝΘΟΥΣΑ,38.0239952,23.8548727
158,15344,ΑΝΘΟΥΣΑ,38.0240205,23.854621
159,15349,ΑΝΘΟΥΣΑ,38.0183405,23.8702526
160,15349,ΑΝΘΟΥΣΑ,38.0183243,23.8704268
161,15349,ΑΝΘΟΥΣΑ,38.0183074,23.870607
162,15349,ΑΝΘΟΥΣΑ,38.0080435,23.8702651
163,15349,ΑΝΘΟΥΣΑ,38.0077514,23.870039
164,15349,ΑΝΘΟΥΣΑ,38.007738,23.8702233
165,15349,ΑΝΘΟΥΣΑ,38.0077229,23.8704203
166,15349,ΑΝΘΟΥΣΑ,38.0073739,23.8701772
167,15349,ΑΝΘΟΥΣΑ,38.0074013,23.8699192
168,15349,ΑΝΘΟΥΣΑ,38.0073951,23.8696356
169,15349,ΑΝΘΟΥΣΑ,38.0073979,23.8697753
170,15349,ΑΝΘΟΥΣΑ,38.0073616,23.8703636
171,15351,ΠΑΛΛΗΝΗ,37.9993678,23.8653208
172,15351,ΠΑΛΛΗΝΗ,37.9806564,23.8558248
173,15351,ΠΑΛΛΗΝΗ,38.006203,23.8743084
174,15351,ΠΑΛΛΗΝΗ,38.006286,23.8738221
175,15351,ΠΑΛΛΗΝΗ,38.0150365,23.8991425
176,15351,ΠΑΛΛΗΝΗ,38.0149418,23.8920886
177,15351,ΠΑΛΛΗΝΗ,38.0159467,23.875538
178,15351,ΠΑΛΛΗΝΗ,38.0160486,23.8744123
179,15351,ΠΑΛΛΗΝΗ,38.0160197,23.8747311
180,15351,ΠΑΛΛΗΝΗ,38.0160355,23.874557
181,15351,ΠΑΛΛΗΝΗ,38.0159653,23.8753328
182,15351,ΠΑΛΛΗΝΗ,38.0160769,23.8740998
183,15351,ΠΑΛΛΗΝΗ,38.0160015,23.8749326
184,15351,ΠΑΛΛΗΝΗ,38.0160625,23.8742596
185,15351,ΠΑΛΛΗΝΗ,38.0159837,23.8751294
186,15351,ΠΑΛΛΗΝΗ,38.0062614,23.8740181
187,15351,ΠΑΛΛΗΝΗ,37.9992387,23.8947845
188,15351,ΠΑΛΛΗΝΗ,37.999232,23.89726
189,15351,ΠΑΛΛΗΝΗ,37.9992136,23.8974718
190,15351,ΠΑΛΛΗΝΗ,37.9991785,23.8977136
191,15351,ΠΑΛΛΗΝΗ,37.9991591,23.897919
192,15351,ΠΑΛΛΗΝΗ,37.9991261,23.8981659
193,15351,ΠΑΛΛΗΝΗ,37.9991056,23.8983752
194,15351,ΠΑΛΛΗΝΗ,37.9845065,23.862725
195,15351,ΠΑΛΛΗΝΗ,37.980623,23.8677566
196,15351,ΠΑΛΛΗΝΗ,37.9806155,23.8679318
197,15351,ΠΑΛΛΗΝΗ,38.0099859,23.8883503
198,15354,ΓΛΥΚΑ ΝΕΡΑ,38.0058724,23.8496628
199,15354,ΓΛΥΚΑ ΝΕΡΑ,37.9829069,23.8464582
200,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0064237,23.7794508
201,15451,ΝΕΑ ΨΥΧΙΚΟ,37.9995778,23.7795843
202,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0132729,23.7779892
203,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0130735,23.7776723
204,15451,ΝΕΑ ΨΥΧΙΚΟ,38.013283,23.7777563
205,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0027513,23.7775044
206,15451,ΝΕΑ ΨΥΧΙΚΟ,37.999285,23.7793648
207,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0066738,23.7795557
208,15452,ΨΥΧΙΚΟ ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ,38.0132819,23.7770648
209,15452,ΨΥΧΙΚΟ ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ,38.0132172,23.7772557
210,15452,ΨΥΧΙΚΟ ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ,38.0088555,23.7721825
211,15562,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.9928362,23.8079759
212,15562,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.9933355,23.8086915
213,15562,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.9931808,23.8091466
214,15562,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.998817,23.8066786
215,15669,ΠΑΠΑΓΟΥ,37.9839076,23.8024947
216,15669,ΠΑΠΑΓΟΥ,37.9831901,23.803207
217,15669,ΠΑΠΑΓΟΥ,37.9834898,23.8024765
218,15669,ΠΑΠΑΓΟΥ,37.9831834,23.8029742
219,15669,ΠΑΠΑΓΟΥ,37.9834999,23.8026952
220,15669,ΠΑΠΑΓΟΥ,37.9831968,23.8034403
221,15669,ΠΑΠΑΓΟΥ,37.9834807,23.8022793
222,15669,ΠΑΠΑΓΟΥ,37.9898357,23.7869877
223,15771,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9724184,23.7615038
224,15771,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9724488,23.761741
225,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9702404,23.778522
226,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9703198,23.7779842
227,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9704112,23.7785992
228,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9703725,23.7780885
229,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9673778,23.7628469
230,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9736732,23.784572
231,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9734581,23.784572
232,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9845227,23.7717338
233,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9842251,23.772721
234,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9844124,23.7718301
235,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9842976,23.7720638
236,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.984388,23.7714475
237,15780,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.9840936,23.7811881
238,15780,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.9711771,23.7642255
239,15780,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.97102,23.7639703
240,15780,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.9723837,23.7612427
241,16122,ΚΑΙΣΑΡΙΑΝΗ ΑΝΩ ΚΑΙΣΑΡΙΑΝΗ,37.9677304,23.7657285
242,16122,ΚΑΙΣΑΡΙΑΝΗ ΑΝΩ ΚΑΙΣΑΡΙΑΝΗ,37.9675175,23.7663022
243,16232,ΒΥΡΩΝΑΣ,37.9501551,23.7559864
244,16232,ΒΥΡΩΝΑΣ,37.9561341,23.7468181
245,16233,ΒΥΡΩΝ ΖΩΟΔΟΧΟΣ ΠΗΓΗ,37.9558502,23.7783759
246,16341,ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ,37.922956,23.746483
247,16341,ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ,37.9228009,23.7464688
248,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9239615,23.7608051
249,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9241974,23.7611665
250,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9240084,23.7603042
251,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9241509,23.7603624
252,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9242629,23.7609238
253,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9238753,23.76025
254,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9237365,23.7601934
255,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9238555,23.7610425
256,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9243452,23.7605198
257,16342,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.92436,23.7602042
258,16344,ΗΛΙΟΥΠΟΛΗ ΑΝΩ ΗΛΙΟΥΠΟΛΗ,37.9474463,23.7645346
259,16346,ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ,37.9339857,23.7501562
260,16451,ΑΡΓΥΡΟΥΠΟΛΗ,37.9038104,23.7573105
261,16452,ΑΡΓΥΡΟΥΠΟΛΗ,37.9117602,23.7360091
262,16452,ΑΡΓΥΡΟΥΠΟΛΗ,37.9054884,23.7298871
263,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8180069,23.7745564
264,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8320131,23.7843684
265,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8284912,23.7721018
266,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.814047,23.7736677
267,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8187347,23.7797032
268,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8186748,23.77951
269,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8191006,23.7797976
270,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8188703,23.7801167
271,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8191614,23.7799878
272,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8097394,23.7831441
273,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8137744,23.7805191
274,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8139654,23.7798956
275,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8179515,23.7708844
276,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8175056,23.7706169
277,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8178529,23.770504
278,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8133929,23.7779331
279,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8135039,23.7779355
280,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.813653,23.7784026
281,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8136557,23.7782164
282,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8138871,23.7786408
283,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8139683,23.7797098
284,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8137718,23.7806955
285,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.817742,23.7701319
286,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8177142,23.770545
287,16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8327333,23.7716036
288,16672,ΒΑΡΗ,37.8364898,23.7895502
289,16672,ΒΑΡΗ,37.8368964,23.7895847
290,16672,ΒΑΡΗ,37.8207672,23.8091196
291,16672,ΒΑΡΗ,37.8314484,23.8062695
292,16672,ΒΑΡΗ,37.8315175,23.8059094
293,16672,ΒΑΡΗ,37.8314833,23.8060873
294,16672,ΒΑΡΗ,37.8164041,23.7989396
295,16672,ΒΑΡΗ,37.8203871,23.8049222
296,16672,ΒΑΡΗ,37.8204734,23.805079
297,16672,ΒΑΡΗ,37.8535523,23.8225267
298,16672,ΒΑΡΗ,37.8346753,23.8165991
299,16672,ΒΑΡΗ,37.8312136,23.8051975
300,16672,ΒΑΡΗ,37.832058,23.8173267
301,16672,ΒΑΡΗ,37.832059,23.8171211
302,16673,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.854883,23.767983
303,16673,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.8552287,23.7679915
