"id","label","label_en","country_id","country_name","population","postal_code","coords"
"Q2087513","Ασπρόπυργος","Aspropyrgos","Q41","Greece","31381","['193\xa000']","(38.06666667, 23.58333333)"
"Q2105234","Πόρτο Ράφτη Αττικής","Porto Rafti","Q41","Greece","9686","['190\xa003']","(37.88444444, 24.0125)"
"Q2120402","Πόθια Καλύμνου","Pothia","Q41","Greece","12324","['852\xa000']","(36.951212, 26.983194)"
"Q2272672","Νιγρίτα","Nigrita","Q41","Greece","4947","['622\xa000']","(40.9076, 23.5006)"
"Q2274800","Νεστόριο","Nestorio","Q41","Greece","865","['520\xa051']","(40.412222222222, 21.061666666667)"
"Q2275300","Ζεφύρι","Zefyri","Q41","Greece","9454","['13461']","(38.0667, 23.7167)"
"Q2277314","Φρες Χανίων","Fres","Q41","Greece","326","['730\xa008']","(35.35, 24.11666667)"
"Q2277328","Δήμος Δύμης","Dymi municipality","Q41","Greece","","['252\xa000']","(38.13333333, 21.55)"
"Q2277346","Θρακομακεδόνες","Thrakomakedones","Q41","Greece","8200","['136\xa076']","(38.12966, 23.75753)"
"Q2284745","Δημοτική Ενότητα Καρδαμύλων","Kardamyla municipality","Q41","Greece","","['82300']","(38.53333333, 26.08333333)"
"Q2417632","Λέχοβο","Lechovo","Q41","Greece","1115","['530\xa073']","(40.58444444444444, 21.49222222222222)"
"Q2479100","δημοτική ενότητα  Αγίας Παρασκευής Λέσβου","Agia Paraskevi Municipal Unit","Q41","Greece","2380","['811 xx']","(39.24778, 26.27167)"
"Q2537108","Φιλιατρά","Filiatra","Q41","Greece","5969","['243\xa000']","(37.157222222222, 21.585833333333)"
"Q2642845","Σμίξη Γρεβενών","Smixi","Q41","Greece","454","['510\xa032']","(40.058888888889, 21.124166666667)"
"Q2706322","Λεχαινά Ηλείας","Lechaina","Q41","Greece","2641","['270\xa053']","(37.93333, 21.26667)"
"Q2706465","Αλιστράτη Σερρών","Alistrati","Q41","Greece","2127","['620\xa045']","(41.063333333333, 23.958055555556)"
"Q2708960","Ελάτεια Φθιώτιδας","Elateia, Phthiotis","Q41","Greece","2002","['350\xa004']","(38.62545, 22.76642)"
"Q2714946","Νέα Χαλκηδόνα","Nea Chalkidona","Q41","Greece","9822","['143 xx']","(38.03333333, 23.73333333)"
"Q2749866","Μαγούλα Λακωνίας","Magoula","Q41","Greece","1415","['23000–23999']","(37.08, 22.4048)"
"Q2752328","Κρεμμύδι Κεφαλλονιάς","Kremmydi","Q41","Greece","40","['28086']","(38.089, 20.747)"
"Q2817358","Κάτω Μηλιά Πιερίας","Kato Milia","Q41","Greece","869","['601\xa000']","(40.25, 22.34166667)"
"Q2839252","Αλωνίσταινα","Alonistaina","Q41","Greece","57","['221\xa000']","(37.62111111, 22.21916667)"
"Q3046798","Μεστά Χίου","Mesta","Q41","Greece","337","['821\xa002']","(38.260359, 25.922441)"
"Q3164014","Άμπελος Καρδίτσας","Ambelos, Karditsa","Q41","Greece","433","['43300']","(39.283333333333, 22.05)"
"Q3324137","Γαρδίκι Σουλίου Θεσπρωτίας","Gardiki Souli","Q41","Greece","663","['462\xa000']","(39.3589, 20.5643)"
"Q3394129","Αναρράχη","Anarrachi","Q41","Greece","926","['50005']","(40.49277778, 21.57166667)"
"Q3394170","Πολύχρονο Χαλκιδικής","Polychrono","Q41","Greece","997","['630\xa085']","(40.01666667, 23.53333333)"
"Q3394314","Μουσθένη Καβάλας","Moustheni","Q41","Greece","569","['640\xa008']","(40.861388888889, 24.111666666667)"
"Q3394331","Πεδινό Κιλκίς","Pedino","Q41","Greece","817","['611\xa000']","(40.91, 22.8725)"
"Q3395160","Φούρκα Χαλκιδικής","Fourka","Q41","Greece","543","['630\xa077']","(40.00572, 23.41537)"
"Q3395558","Νέο Πετρίτσι Σερρών","Neo Petritsi","Q41","Greece","1690","['620\xa043']","(41.27388889, 23.29722222)"
"Q3395585","Κύμινα Θεσσαλονίκης","Kymina","Q41","Greece","3652","['576\xa000']","(40.61361111111111, 22.692777777777778)"
"Q3401595","Αξιοχώρι Κιλκίς","Axiochori","Q41","Greece","303","['61200']","(40.87444444444444, 22.642222222222223)"
"Q3401607","Αγίασμα Κοζάνης","Agiasma, Kozani","Q41","Greece","3","['500\xa002']","(40.279444444444444, 21.238611111111112)"
"Q3401703","Φύσκα Κιλκίς","Fyska","Q41","Greece","152","['61100']","(41.11027778, 22.99138889)"
"Q3403307","Μικρολίβαδο Γρεβενών","Mikrolivado","Q41","Greece","56","['510\xa031']","(39.94805556, 21.23833333)"
"Q3403480","Καλλιθέα Γρεβενών","Kallithea, Grevena","Q41","Greece","58","['510\xa031']","(39.846944444444446, 21.355833333333333)"
"Q3405662","Κοπανός Ημαθίας","Kopanos, Imathia","Q41","Greece","1853","['590\xa035']","(40.63361111, 22.12944444)"
"Q3405686","Κνίδη Γρεβενών","Knidi","Q41","Greece","264","['511\xa000']","(40.096666666667, 21.593055555556)"
"Q3405749","Θολός Σερρών","Tholos","Q41","Greece","776","['620\xa050']","(40.999, 23.78)"
"Q3498211","Στενή Δίρφυος Εύβοιας","Steni Dirfyos","Q41","Greece","565","['34014']","(38.58163889, 23.83795278)"
"Q3546413","Τζερμιάδο Λασιθίου","Tzermiado","Q41","Greece","637","['720\xa052']","(35.198333333333, 25.49)"
"Q3556113","Ζάρκο Τρικάλων","Zarko","Q41","Greece","1247","['420\xa031']","(39.607777777778, 22.124722222222)"
"Q3556195","Άγιος Θωμάς Βοιωτίας","Agios Thomas","Q41","Greece","1292","['320\xa009']","(38.26666667, 23.58333333)"
"Q3557797","Μοναστηράκι Δράμας","Monastiraki","Q41","Greece","785","['66100']","(41.18805556, 24.17)"
"Q3558064","Τσαγκαράδα Μαγνησίας","Tsagkarada","Q41","Greece","525","['37012']","(39.388122222222, 23.172966666667)"
"Q3558195","Καλοχώρι Θεσσαλονίκης","Kalochori","Q41","Greece","4672","['575\xa000']","(40.64093, 22.85781)"
"Q3558257","Δεμένικα Αχαΐας","Demenika","Q41","Greece","2783","['265\xa000']","(38.2012, 21.7423)"
"Q3559433","Δήμος Αγνάντων","Agnanta municipality","Q41","Greece","","['470\xa043']","(39.46666667, 21.08333333)"
"Q3561400","Ελάτη Τρικάλων","Elati","Q41","Greece","406","['420\xa032']","(39.502222222222, 21.538333333333)"
"Q3562915","Βίνιανη Ευρυτανίας","Viniani","Q41","Greece","3","['360\xa071']","(38.9833, 21.6833)"
"Q3563005","Μεθύδριο Αρκαδίας","Methydrio","Q41","Greece","11","['221\xa031']","(37.635923, 22.172617)"
"Q3563747","Ρουπάκι Ηλείας","Roupaki","Q41","Greece","543","['273\xa000']","(37.86333333, 21.32333333)"
"Q3564005","Ορμύλια","Ormylia","Q41","Greece","2979","['630\xa071']","(40.294444444444, 23.543333333333)"
"Q3564024","Ανδρομάχη Πιερίας","Andromachi","Q41","Greece","1061","['601\xa000']","(40.27194444, 22.48111111)"
