,id,postal_code,territory,latitude,longitude,municipality,population
137,137,15238,ΧΑΛΑΝΔΡΙ,38.0297322,23.8457623,Chalandri,77100.0
138,138,15238,ΧΑΛΑΝΔΡΙ,38.0296402,23.8459384,Chalandri,77100.0
139,139,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0144866,23.8128995,Agia Paraskevi,62147.0
140,140,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0146131,23.8125252,Agia Paraskevi,62147.0
141,141,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0143315,23.8125561,Agia Paraskevi,62147.0
142,142,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0142853,23.8133375,Agia Paraskevi,62147.0
143,143,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0142241,23.8128743,Agia Paraskevi,62147.0
144,144,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,37.9955768,23.8144236,Agia Paraskevi,62147.0
145,145,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0126661,23.8093598,Agia Paraskevi,62147.0
146,146,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0144166,23.812307,Agia Paraskevi,62147.0
147,147,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0144734,23.8121403,Agia Paraskevi,62147.0
148,148,15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0141582,23.812841,Agia Paraskevi,62147.0
149,149,15342,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΑΓΙΑΝΝΗ,38.0020343,23.8247017,Agia Paraskevi,62147.0
150,150,15342,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΑΓΙΑΝΝΗ,38.0014539,23.8255647,Agia Paraskevi,62147.0
151,151,15342,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΑΓΙΑΝΝΗ,38.0015937,23.8254559,Agia Paraskevi,62147.0
152,152,15343,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΠΕΥΚΑΚΙ,38.0189386,23.8308807,Agia Paraskevi,62147.0
153,153,15344,ΑΝΘΟΥΣΑ,38.018629,23.859096,,
154,154,15344,ΑΝΘΟΥΣΑ,38.0182641,23.8590921,,
155,155,15344,ΑΝΘΟΥΣΑ,38.0186314,23.8587984,,
156,156,15344,ΑΝΘΟΥΣΑ,38.0182724,23.8587945,,
157,157,15344,ΑΝΘΟΥΣΑ,38.0239952,23.8548727,,
158,158,15344,ΑΝΘΟΥΣΑ,38.0240205,23.854621,,
159,159,15349,ΑΝΘΟΥΣΑ,38.0183405,23.8702526,,
160,160,15349,ΑΝΘΟΥΣΑ,38.0183243,23.8704268,,
161,161,15349,ΑΝΘΟΥΣΑ,38.0183074,23.870607,,
162,162,15349,ΑΝΘΟΥΣΑ,38.0080435,23.8702651,,
163,163,15349,ΑΝΘΟΥΣΑ,38.0077514,23.870039,,
164,164,15349,ΑΝΘΟΥΣΑ,38.007738,23.8702233,,
165,165,15349,ΑΝΘΟΥΣΑ,38.0077229,23.8704203,,
166,166,15349,ΑΝΘΟΥΣΑ,38.0073739,23.8701772,,
167,167,15349,ΑΝΘΟΥΣΑ,38.0074013,23.8699192,,
168,168,15349,ΑΝΘΟΥΣΑ,38.0073951,23.8696356,,
169,169,15349,ΑΝΘΟΥΣΑ,38.0073979,23.8697753,,
170,170,15349,ΑΝΘΟΥΣΑ,38.0073616,23.8703636,,
171,171,15351,ΠΑΛΛΗΝΗ,37.9993678,23.8653208,,
172,172,15351,ΠΑΛΛΗΝΗ,37.9806564,23.8558248,,
173,173,15351,ΠΑΛΛΗΝΗ,38.006203,23.8743084,,
174,174,15351,ΠΑΛΛΗΝΗ,38.006286,23.8738221,,
175,175,15351,ΠΑΛΛΗΝΗ,38.0150365,23.8991425,,
176,176,15351,ΠΑΛΛΗΝΗ,38.0149418,23.8920886,,
177,177,15351,ΠΑΛΛΗΝΗ,38.0159467,23.875538,,
178,178,15351,ΠΑΛΛΗΝΗ,38.0160486,23.8744123,,
179,179,15351,ΠΑΛΛΗΝΗ,38.0160197,23.8747311,,
180,180,15351,ΠΑΛΛΗΝΗ,38.0160355,23.874557,,
181,181,15351,ΠΑΛΛΗΝΗ,38.0159653,23.8753328,,
182,182,15351,ΠΑΛΛΗΝΗ,38.0160769,23.8740998,,
183,183,15351,ΠΑΛΛΗΝΗ,38.0160015,23.8749326,,
184,184,15351,ΠΑΛΛΗΝΗ,38.0160625,23.8742596,,
185,185,15351,ΠΑΛΛΗΝΗ,38.0159837,23.8751294,,
186,186,15351,ΠΑΛΛΗΝΗ,38.0062614,23.8740181,,
187,187,15351,ΠΑΛΛΗΝΗ,37.9992387,23.8947845,,
188,188,15351,ΠΑΛΛΗΝΗ,37.999232,23.89726,,
189,189,15351,ΠΑΛΛΗΝΗ,37.9992136,23.8974718,,
190,190,15351,ΠΑΛΛΗΝΗ,37.9991785,23.8977136,,
191,191,15351,ΠΑΛΛΗΝΗ,37.9991591,23.897919,,
192,192,15351,ΠΑΛΛΗΝΗ,37.9991261,23.8981659,,
193,193,15351,ΠΑΛΛΗΝΗ,37.9991056,23.8983752,,
194,194,15351,ΠΑΛΛΗΝΗ,37.9845065,23.862725,,
195,195,15351,ΠΑΛΛΗΝΗ,37.980623,23.8677566,,
196,196,15351,ΠΑΛΛΗΝΗ,37.9806155,23.8679318,,
197,197,15351,ΠΑΛΛΗΝΗ,38.0099859,23.8883503,,
198,198,15354,ΓΛΥΚΑ ΝΕΡΑ,38.0058724,23.8496628,,
199,199,15354,ΓΛΥΚΑ ΝΕΡΑ,37.9829069,23.8464582,,
200,200,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0064237,23.7794508,Filothei-Psychiko,27635.0
201,201,15451,ΝΕΑ ΨΥΧΙΚΟ,37.9995778,23.7795843,Filothei-Psychiko,27635.0
202,202,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0132729,23.7779892,Filothei-Psychiko,27635.0
203,203,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0130735,23.7776723,Filothei-Psychiko,27635.0
204,204,15451,ΝΕΑ ΨΥΧΙΚΟ,38.013283,23.7777563,Filothei-Psychiko,27635.0
205,205,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0027513,23.7775044,Filothei-Psychiko,27635.0
206,206,15451,ΝΕΑ ΨΥΧΙΚΟ,37.999285,23.7793648,Filothei-Psychiko,27635.0
207,207,15451,ΝΕΑ ΨΥΧΙΚΟ,38.0066738,23.7795557,Filothei-Psychiko,27635.0
208,208,15452,ΨΥΧΙΚΟ ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ,38.0132819,23.7770648,Filothei-Psychiko,27635.0
209,209,15452,ΨΥΧΙΚΟ ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ,38.0132172,23.7772557,Filothei-Psychiko,27635.0
210,210,15452,ΨΥΧΙΚΟ ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ,38.0088555,23.7721825,Filothei-Psychiko,27635.0
211,211,15562,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.9928362,23.8079759,Papagou-Cholargos,45264.0
212,212,15562,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.9933355,23.8086915,Papagou-Cholargos,45264.0
